中文社会科学引文索引（CSSCI）来源期刊
扩展版目录（2021-2022）
（共 229 种）
为进一步提升CSSCI数据库的更新频率，敬请各编辑部定期惠赠样刊1-2册。
寄送地址：江苏省南京市汉口路22号
南京大学中国社会科学研究评价中心 期刊事业部 210093
128 管理学 社会保障研究 42-1792/F
129 社会学 社会建设 22-1410/C
130 综合性社会科学 社会科学家 45-1008/C
131 社会学 社会政策研究 10-1428/D
132 马克思主义理论 社会主义核心价值观研究 10-1350/D
133 人文经济地理 世界地理研究 31-1626/P
134 艺术学 世界电影 11-2023/G2
135 经济学 世界农业 11-1097/S
136 马克思主义理论 世界社会主义研究 10-1443/D
137 经济学 首都经济贸易大学学报 11-4579/F
138 体育学 首都体育学院学报 11-4513/G
139 艺术学 书法研究 31-2115/J
140 教育学 数学教育学报 12-1194/G4
141 图书馆、情报与文献学 数字图书馆论坛 11-5359/G2
142 经济学 税务与经济 22-1210/F
143 马克思主义理论 苏区研究 36-1341/C
144 法学 苏州大学学报(法学版) 32-1846/D
145 教育学 苏州大学学报(教育科学版) 32-1843/G4
146 政治学 台湾研究集刊 35-1022/C
147 体育学 体育文化导刊 11-4612/G8
148 综合性社会科学 天府新论 51-1035/C
149 教育学 天津师范大学学报(基础教育版) 12-1315/G4
- 4 -
本目录仅供数据库用户参考，不作其他用途
序号 学科名称 期刊名称 CN号
150 体育学 天津体育学院学报 12-1140/G8
151 经济学 投资研究 11-1389/F
152 图书馆、情报与文献学 图书馆 43-1031/G2
153 图书馆、情报与文献学 图书馆工作与研究 12-1020/G2
154 图书馆、情报与文献学 图书馆理论与实践 64-1004/G2
155 历史学 外国问题研究 22-1398/C
156 语言学 外语学刊 23-1071/H
157 语言学 外语研究 32-1001/H
158 新闻学与传播学 未来传播 33-1412/G2
159 中国文学 文艺论坛 43-1551/I0
160 中国文学 文艺评论 23-1059/I
161 宗教学 五台山研究 14-1080/B
162 经济学 西安财经大学学报 61-1517/F
163 语言学 西安外国语大学学报 61-1457/H
164 民族学与文化学 西北民族大学学报(哲学社会科学版) 62-1185/C
165 社会学 西北人口 62-1019/C
166 经济学 西部论坛 50-1200/C
167 民族学与文化学 西藏民族大学学报(哲学社会科学版) 54-1062/G
168 民族学与文化学 西藏研究 54-1064/C
169 管理学 系统管理学报 31-1977/N
170 哲学 系统科学学报 14-1333/N
171 教育学 现代教育管理 21-1570/G4
172 经济学 消费经济 43-1022/F
173 心理学 心理学探新 36-1228/B
174 心理学 心理研究 41-1393/B
175 图书馆、情报与文献学 新世纪图书馆 32-1691/G2
176 政治学 新视野 11-3257/D
177 新闻学与传播学 新闻爱好者 41-1025/G2
178 新闻学与传播学 新闻春秋 10-1063/G2
179 新闻学与传播学 新闻与传播评论 42-1900/G2
180 艺术学 星海音乐学院学报 44-1132/J
181 管理学 行政管理改革 11-5876/D
182 综合性社会科学 学术交流 23-1048/C
183 综合性社会科学 学术探索 53-1148/C
184 马克思主义理论 学校党建与思想教育 42-1422/D
185 政治学 亚太安全与海洋研究 10-1334/D
186 综合性高校学报 烟台大学学报(哲学社会科学版) 37-1104/C
187 艺术学 艺术百家 32-1092/J
188 艺术学 艺术传播研究 10-1651/J
189 艺术学 艺术探索 45-1077/J
- 5 -
本目录仅供数据库用户参考，不作其他用途
序号 学科名称 期刊名称 CN号
190 艺术学 音乐艺术(上海音乐学院学报) 31-1004/J
191 政治学 印度洋经济体研究 53-1227/F
192 语言学 语言与翻译 65-1015/H
193 语言学 语言战略研究 10-1361/H
194 民族学与文化学 原生态民族文化学刊 52-1150/C
195 经济学 云南财经大学学报 53-1209/F
196 综合性高校学报 云南大学学报(社会科学版) 53-1176/C
197 管理学 运筹与管理 34-1133/G3
198 政治学 政治思想史 12-1419/D
199 法学 知识产权 11-2760/N
200 管理学 智库理论与实践 10-1413/N
201 教育学 中国大学教学 11-3213/G4
202 历史学 中国典籍与文化 11-2992/G2
203 艺术学 中国电视 11-2750/J
204 语言学 中国俄语教学 11-2727/H
205 艺术学 中国广播电视学刊 11-1746/G2
206 考古学 中国国家博物馆馆刊 10-1005/K
207 法学 中国海商法研究 21-1584/D
208 自然资源与环境科学 中国环境管理 11-5806/X
209 教育学 中国教育科学 10-1578/G4
210 教育学 中国考试 11-3303/G4
211 历史学 中国科技史杂志 11-5254/N
212 管理学 中国科学基金 11-1730/N
213 综合性高校学报 中国矿业大学学报(社会科学版) 32-1593/C
214 经济学 中国流通经济 11-3664/F
215 宗教学 中国穆斯林 11-1345/B
216 自然资源与环境科学 中国农业资源与区划 11-3513/S
217 社会学 中国青年社会科学 10-1318/C
218 管理学 中国人力资源开发 11-2822/C
219 教育学 中国人民大学教育学刊 11-5978/G4
220 高校社科学报 中国人民公安大学学报(社会科学版) 10-1450/C
221 综合性社会科学 中国社会科学评价 10-1267/C
222 综合性社会科学 中国社会科学院研究生院学报 11-1131/C
223 教育学 中国特殊教育 11-3826/G4
224 综合性社会科学 中国图书评论 21-1035/G2
225 综合性社会科学 中国文化研究 11-3306/G2
226 法学 中国应用法学 10-1459/D
227 法学 中国政法大学学报 11-5607/D
228 宗教学 中国宗教 11-3598/D
229 教育学 中小学管理 11-2545/G4
- 6 -
本目录仅供数据库用户参考，不作其他用途
- 7 -
本目录仅供数据库用户参考，不作其他用途
