id,name,detail_url,updated_at
669,"""青海民族研究""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbQlCb1NWYby5Zf7gEfdIHEDkWZRvOKRkLC19KD5fNv-4oWfbkuTWfEWX-vsU0o-hGbfN-x-1Hf1_XHJWcyCV_VGQ6Np7UuL5C0HQovDG5_dVA==&uniplatform=NZKPT&language=CHS""",2026-03-24 14:50:49
642,"""烟台大学学报(哲学社会科学版)""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbTIDSAqMMNMUoIsJY46KdHIFXDjesoOB_mBQ6-M9dQ_SVIXJsE-8pu8FcJdoLYMQV27HD2SW8U-adCFqUFF1s1ypv8Y_bDttFp1y3IqGrpFCw==&uniplatform=NZKPT&language=CHS""",2026-03-24 14:48:41
620,"""传媒观察""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbSIb47Jc2F5eA7XGO6lVox6StcJFVPVS5onfVfjCZ20UeWm9RubZSPHDiMPz3DT_oVSk7JNQCxMBYUINX_7sEWS1XiSpKEFScA8PTwR21OWGw==&uniplatform=NZKPT&language=CHS""",2026-03-24 14:46:24
564,"""北京交通大学学报(社会科学版)""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbSOz6-m3tCn2B3vS3NBokwntSBm3KQTARBMGf5xKqEJ3NG-PF7zmtJ6pvjp6jywvE0iwLoP_emzUhd4Gapv4W1bZvYHOF48XvSDaRHjmoU0yw==&uniplatform=NZKPT&language=CHS""",2026-03-24 14:45:45
598,"""中国编辑""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbRq5ujAfuNhMO1SyJO0QsaQVjkLRq4-CuioqtnP92C6b07-Bk3ccIKmBqaWnYmbrgaF7ow2gPYfLrRHhQ4gwoPchcP85wOAEb9UGV9p4q3ZSw==&uniplatform=NZKPT&language=CHS""",2026-03-24 14:41:05
297,"""东方法学""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbRoBaGQPnGg19VWCsmbLOs79bZ1CiKeB6hSw3V--ayuCFwGdXgQ6N12GjP8HTYz4FXMw0woibsoYEKbpqJSSIWEhigouUUbUGQFbtAwxTpR0Q==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:05:46
418,"""人口与发展""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbSOz6-m3tCn2B3vS3NBokwntSBm3KQTARBMGf5xKqEJ3NG-PF7zmtJ6pvjp6jywvE3wgegaSRZTQSWMreMp0zVGbdlOzScTZo-rYrlV6EMk7A==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:05:46
420,"""文学遗产""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbTzj-ul16sKosLEI6q7AsmwZLGAb1glHHnhrbICollCOY8_p4NshaMbaZah4Tp34xJR8fGcRs1eWpReyFnXNgXwPOG69jGy4TnFNjYEV89gkw==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:05:46
376,"""国际贸易""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbRnuHd9AKODIDPT1J-lyI4vwMYJrERqM1-jLk2Yq9yjsedXgBmoU9Q7ntcL9adxCs066VRDC1nLRwYHcNmXZUjlhPrMouaURlfkOiM36PXYYw==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:05:10
413,"""中国人民公安大学学报(社会科学版)""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbSGbVWAJBZvp8QlZ9sf8lOJuma5JfB4m9PQox4vgUu32w2sZvcuoTafemy0OlFxFNXotycFlrIT5BdY22C8NK02bhPpg3kWBHdNoHL2p9wsFQ==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:03:35
